"date_pt","whale_presence_rating","vsr_season","s_fincount","fin_acoustic","s_humpbackcount","humpback_acoustic","s_bluecount","blue_acoustic","bwmv","bwmv_rating"
2023-02-01,"High","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.01,"low"
2023-02-02,"Medium","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.02,"low"
2023-02-03,"Low","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.05,"low"
2023-02-04,"Low","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.02,"low"
2023-02-05,"Low","inactive",0,"Low Rating",0,"Medium Rating",0,"Low Rating",0.02,"low"
2023-02-06,"Low","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.02,"low"
2023-02-07,"Medium","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.01,"low"
2023-02-08,"Medium","inactive",0,"Low Rating",0,"Medium Rating",0,"Low Rating",0.01,"low"
2023-02-09,"Medium","inactive",0,"Low Rating",0,"Medium Rating",0,"Low Rating",0.02,"low"
2023-02-10,"High","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.01,"low"
2023-02-11,"High","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",NA,"offline"
2023-02-12,"High","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.02,"low"
2023-02-13,"High","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.02,"low"
2023-02-14,"Low","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.02,"low"
2023-02-15,"Low","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.02,"low"
2023-02-16,"Low","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.01,"low"
2023-02-17,"Low","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.01,"low"
2023-02-18,"Low","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.01,"low"
2023-02-19,"Low","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.01,"low"
2023-02-20,"Low","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.02,"low"
2023-02-21,"Low","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.01,"low"
2023-02-22,"Low","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.01,"low"
2023-02-23,"Low","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.01,"low"
2023-02-24,"Low","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.01,"low"
2023-02-25,"Low","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.01,"low"
2023-02-26,"Low","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.02,"low"
2023-02-27,"Low","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.02,"low"
2023-02-28,"Low","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.02,"low"
2023-03-01,"Low","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.02,"low"
