date_pt,whale_presence_rating,vsr_season,s_fincount,fin_acoustic,s_humpbackcount,humpback_acoustic,s_bluecount,blue_acoustic,bwmv,bwmv_rating,blue_acoustic_count,fin_acoustic_count,humpback_acoustic_count,n_periods,blue_acoustic_percent,fin_acoustic_percent,humpback_acoustic_percent,zone
12/29/2020,Very High,inactive,0,High Rating,0,Medium Rating,0,High Rating,0.07,low,4,18,2,39,10,46,5,Socal VSR
12/30/2020,Very High,inactive,0,High Rating,0,Low Rating,0,High Rating,0.08,low,28,6,0,33,85,18,0,Socal VSR
12/31/2020,Very High,inactive,0,High Rating,0,Low Rating,0,High Rating,0.08,low,10,25,0,64,16,39,0,Socal VSR
1/1/2021,Very High,inactive,0,High Rating,0,Low Rating,0,High Rating,0.06,low,5,6,0,37,14,16,0,Socal VSR
1/2/2021,Very High,inactive,0,High Rating,0,Low Rating,0,High Rating,0.05,low,12,5,0,34,35,15,0,Socal VSR
1/3/2021,Very High,inactive,0,Low Rating,0,Low Rating,0,High Rating,0.05,low,11,0,0,35,31,0,0,Socal VSR
1/4/2021,Very High,inactive,0,High Rating,0,Low Rating,0,High Rating,0.05,low,8,12,0,43,19,28,0,Socal VSR
1/5/2021,Very High,inactive,0,High Rating,0,Low Rating,0,High Rating,0.05,low,11,18,0,36,31,50,0,Socal VSR
1/6/2021,Very High,inactive,0,High Rating,0,Low Rating,0,High Rating,0.05,low,14,15,0,40,35,38,0,Socal VSR
1/7/2021,Very High,inactive,0,High Rating,0,Low Rating,0,High Rating,0.06,low,8,20,0,34,24,59,0,Socal VSR
1/8/2021,Very High,inactive,0,High Rating,0,Low Rating,0,Medium Rating,0.06,low,1,25,0,44,2,57,0,Socal VSR
1/9/2021,Very High,inactive,0,High Rating,0,Low Rating,0,Medium Rating,0.05,low,2,21,0,33,6,64,0,Socal VSR
1/10/2021,Very High,inactive,0,High Rating,0,High Rating,0,High Rating,0.06,low,12,7,7,43,28,16,16,Socal VSR
1/11/2021,Very High,inactive,0,Medium Rating,0,Medium Rating,0,Low Rating,0.06,low,0,1,5,35,0,3,14,Socal VSR
1/12/2021,Very High,inactive,0,Medium Rating,0,Low Rating,0,Low Rating,0.06,low,0,2,0,44,0,5,0,Socal VSR
1/13/2021,Very High,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.07,low,0,6,0,34,0,18,0,Socal VSR
1/14/2021,Very High,inactive,0,Medium Rating,0,Medium Rating,0,Low Rating,0.07,low,0,4,1,57,0,7,2,Socal VSR
1/15/2021,High,inactive,0,Medium Rating,0,Low Rating,0,Low Rating,0.07,low,0,2,0,63,0,3,0,Socal VSR
1/16/2021,High,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.08,low,0,17,0,67,0,25,0,Socal VSR
1/17/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.1,low,0,0,0,53,0,0,0,Socal VSR
1/18/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.13,low,0,0,0,69,0,0,0,Socal VSR
1/19/2021,High,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.13,low,0,15,0,61,0,25,0,Socal VSR
1/20/2021,High,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.11,low,0,7,0,64,0,11,0,Socal VSR
1/21/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.1,low,0,0,0,89,0,0,0,Socal VSR
1/22/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.09,low,0,0,0,85,0,0,0,Socal VSR
1/23/2021,High,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.08,low,0,5,0,48,0,10,0,Socal VSR
1/24/2021,High,inactive,0,High Rating,0,Low Rating,0,High Rating,0.07,low,3,6,0,29,10,21,0,Socal VSR
1/25/2021,High,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.05,low,0,5,0,45,0,11,0,Socal VSR
1/26/2021,Very High,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.04,low,0,13,0,36,0,36,0,Socal VSR
1/27/2021,Very High,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.03,low,0,7,0,38,0,18,0,Socal VSR
1/28/2021,Very High,inactive,0,Medium Rating,0,Low Rating,0,Low Rating,0.03,low,0,1,0,70,0,1,0,Socal VSR
1/29/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.03,low,0,0,0,57,0,0,0,Socal VSR
1/30/2021,High,inactive,0,Medium Rating,0,Low Rating,0,Low Rating,0.03,low,0,4,0,64,0,6,0,Socal VSR
1/31/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.05,low,0,0,0,54,0,0,0,Socal VSR
2/1/2021,High,inactive,0,Medium Rating,0,Low Rating,0,Low Rating,0.05,low,0,1,0,53,0,2,0,Socal VSR
2/2/2021,High,inactive,0,Medium Rating,0,Low Rating,0,Low Rating,0.07,low,0,1,0,71,0,1,0,Socal VSR
2/3/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.07,low,0,0,0,92,0,0,0,Socal VSR
2/4/2021,High,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.08,low,0,10,0,50,0,20,0,Socal VSR
2/5/2021,High,inactive,0,Medium Rating,0,Low Rating,0,Low Rating,0.06,low,0,2,0,80,0,3,0,Socal VSR
2/6/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.07,low,0,0,0,55,0,0,0,Socal VSR
2/7/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.06,low,0,0,0,50,0,0,0,Socal VSR
2/8/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.06,low,0,0,0,62,0,0,0,Socal VSR
2/9/2021,High,inactive,0,Medium Rating,0,Low Rating,0,Low Rating,0.06,low,0,3,0,56,0,5,0,Socal VSR
2/10/2021,Low,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.06,low,0,13,0,44,0,30,0,Socal VSR
