date_pt,whale_presence_rating,vsr_season,s_fincount,fin_acoustic,s_humpbackcount,humpback_acoustic,s_bluecount,blue_acoustic,bwmv,bwmv_rating,zone
3/7/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.07,low,Socal VSR
3/8/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.08,low,Socal VSR
3/9/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.08,low,Socal VSR
3/10/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.06,low,Socal VSR
3/11/2021,Low,inactive,0,Medium Rating,0,Low Rating,0,Low Rating,0.06,low,Socal VSR
3/12/2021,Low,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.05,low,Socal VSR
3/13/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.06,low,Socal VSR
3/14/2021,High,inactive,0,Low Rating,0,Medium Rating,0,Low Rating,0.05,low,Socal VSR
3/15/2021,High,inactive,0,Low Rating,0,Medium Rating,0,Low Rating,0.05,low,Socal VSR
3/16/2021,Low,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.04,low,Socal VSR
3/17/2021,Medium,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.04,low,Socal VSR
3/18/2021,Medium,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.03,low,Socal VSR
3/19/2021,Medium,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.03,low,Socal VSR
3/20/2021,Medium,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.04,low,Socal VSR
3/21/2021,Low,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.05,low,Socal VSR
3/22/2021,Low,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.05,low,Socal VSR
3/23/2021,Low,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.04,low,Socal VSR
3/24/2021,Low,inactive,0,Medium Rating,0,Low Rating,0,Low Rating,0.05,low,Socal VSR
3/25/2021,Low,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.05,low,Socal VSR
3/26/2021,High,inactive,0,Medium Rating,0,Medium Rating,0,Low Rating,0.04,low,Socal VSR
3/27/2021,High,inactive,0,Medium Rating,1,Medium Rating,0,Low Rating,0.05,low,Socal VSR
3/28/2021,High,inactive,0,Medium Rating,0,Medium Rating,0,Low Rating,0.05,low,Socal VSR
3/29/2021,High,inactive,0,High Rating,2,Low Rating,0,Low Rating,0.07,low,Socal VSR
3/30/2021,High,inactive,0,offline,0,offline,0,offline,0.09,low,Socal VSR
3/31/2021,High,inactive,0,offline,0,offline,0,offline,0.16,low,Socal VSR
4/1/2021,High,inactive,4,offline,0,offline,0,offline,0.27,low,Socal VSR
4/2/2021,High,inactive,0,offline,0,offline,0,offline,0.27,low,Socal VSR
4/3/2021,Low,inactive,0,offline,0,offline,0,offline,0.22,low,Socal VSR
4/4/2021,Low,inactive,0,offline,6,offline,0,offline,0.18,low,Socal VSR
4/5/2021,Medium,inactive,0,offline,1,offline,0,offline,0.2,low,Socal VSR
4/6/2021,Medium,inactive,0,offline,4,offline,0,offline,0.2,low,Socal VSR
4/7/2021,Medium,inactive,0,offline,0,offline,0,offline,0.17,low,Socal VSR
4/8/2021,Medium,inactive,0,offline,0,offline,0,offline,0.16,low,Socal VSR
4/9/2021,Medium,inactive,0,offline,0,offline,0,offline,0.2,low,Socal VSR
4/10/2021,Medium,inactive,0,offline,0,offline,0,offline,0.29,low,Socal VSR
4/11/2021,Medium,inactive,0,offline,5,offline,0,offline,0.27,low,Socal VSR
4/12/2021,Medium,inactive,0,offline,2,offline,0,offline,0.28,low,Socal VSR
4/13/2021,Medium,inactive,0,offline,0,offline,0,offline,0.26,low,Socal VSR
4/14/2021,Medium,inactive,0,offline,0,offline,0,offline,0.2,low,Socal VSR
4/15/2021,Medium,inactive,0,offline,0,offline,0,offline,0.22,low,Socal VSR
4/16/2021,Medium,inactive,0,offline,16,offline,1,offline,0.22,low,Socal VSR
4/17/2021,High,inactive,0,offline,0,offline,0,offline,0.23,low,Socal VSR
4/18/2021,High,inactive,0,offline,2,offline,0,offline,0.27,low,Socal VSR
4/19/2021,High,inactive,0,offline,0,offline,0,offline,0.28,low,Socal VSR
4/20/2021,High,inactive,0,offline,0,offline,0,offline,0.33,low,Socal VSR
4/21/2021,High,inactive,0,offline,10,offline,0,offline,0.25,low,Socal VSR
4/22/2021,Medium,inactive,0,offline,0,offline,0,offline,0.17,low,Socal VSR
4/23/2021,Medium,inactive,4,offline,3,offline,0,offline,0.24,low,Socal VSR
4/24/2021,Medium,inactive,0,offline,4,offline,0,offline,0.25,low,Socal VSR
4/25/2021,High,inactive,0,offline,12,offline,0,offline,0.24,low,Socal VSR
4/26/2021,High,inactive,0,offline,0,offline,0,offline,0.22,low,Socal VSR
4/27/2021,High,inactive,0,offline,2,offline,0,offline,0.18,low,Socal VSR
4/28/2021,High,inactive,0,offline,12,offline,0,offline,0.16,low,Socal VSR
4/29/2021,Medium,inactive,0,offline,4,offline,0,offline,0.2,low,Socal VSR
4/30/2021,Medium,inactive,0,offline,0,offline,0,offline,0.28,low,Socal VSR
5/1/2021,Medium,inactive,0,offline,5,offline,0,offline,0.35,low,Socal VSR
5/2/2021,Medium,inactive,2,offline,0,offline,0,offline,0.31,low,Socal VSR
5/3/2021,Medium,inactive,0,offline,1,offline,0,offline,0.29,low,Socal VSR
5/4/2021,Low,inactive,0,offline,11,offline,2,offline,0.34,low,Socal VSR
5/5/2021,Very High,inactive,0,offline,9,offline,0,offline,0.41,low,Socal VSR
5/6/2021,Very High,inactive,0,Low Rating,0,Medium Rating,0,Low Rating,0.44,low,Socal VSR
5/7/2021,Very High,inactive,0,Low Rating,0,Medium Rating,0,Low Rating,0.41,low,Socal VSR
5/8/2021,Very High,inactive,0,Medium Rating,6,High Rating,0,Low Rating,0.41,low,Socal VSR
5/9/2021,Very High,inactive,0,Low Rating,0,Medium Rating,0,Medium Rating,0.45,low,Socal VSR
5/10/2021,High,inactive,2,Low Rating,0,Medium Rating,0,Medium Rating,0.52,low,Socal VSR
5/11/2021,High,inactive,0,Low Rating,0,High Rating,0,Low Rating,0.52,low,Socal VSR
5/12/2021,High,inactive,0,Low Rating,0,High Rating,0,Low Rating,0.52,low,Socal VSR
5/13/2021,Very High,inactive,0,Low Rating,1,Medium Rating,0,Low Rating,0.59,low,Socal VSR
5/14/2021,Medium,inactive,1,Medium Rating,0,Medium Rating,0,Low Rating,0.55,low,Socal VSR
5/15/2021,High,active,0,Medium Rating,0,High Rating,0,Low Rating,0.5,low,Socal VSR
5/16/2021,High,active,0,Medium Rating,0,Medium Rating,0,Low Rating,0.48,low,Socal VSR
5/17/2021,High,active,0,Low Rating,0,Medium Rating,0,Low Rating,0.5,low,Socal VSR
5/18/2021,High,active,0,Medium Rating,0,Low Rating,0,Low Rating,0.48,low,Socal VSR
5/19/2021,High,active,0,Low Rating,0,Medium Rating,0,Low Rating,0.49,low,Socal VSR
5/20/2021,High,active,0,Low Rating,0,Low Rating,0,Low Rating,0.46,low,Socal VSR
5/21/2021,High,active,0,Medium Rating,0,Low Rating,0,Low Rating,0.42,low,Socal VSR
5/22/2021,High,active,0,Medium Rating,4,Low Rating,0,Low Rating,0.37,low,Socal VSR
5/23/2021,High,active,0,Medium Rating,0,Medium Rating,0,Low Rating,0.38,low,Socal VSR
5/24/2021,High,active,0,Medium Rating,0,Medium Rating,0,Low Rating,0.43,low,Socal VSR
5/25/2021,High,active,0,Low Rating,0,Medium Rating,0,Low Rating,0.39,low,Socal VSR
5/26/2021,High,active,0,Medium Rating,2,High Rating,0,Low Rating,0.39,low,Socal VSR
5/27/2021,Very High,active,0,Low Rating,0,High Rating,0,Low Rating,0.39,low,Socal VSR
5/28/2021,Very High,active,0,High Rating,0,High Rating,0,Low Rating,0.42,low,Socal VSR
5/29/2021,Very High,active,0,Low Rating,7,Medium Rating,0,Low Rating,0.37,low,Socal VSR
5/30/2021,Very High,active,0,Medium Rating,0,Medium Rating,0,Low Rating,0.33,low,Socal VSR
5/31/2021,High,active,1,Medium Rating,3,Medium Rating,0,Low Rating,0.36,low,Socal VSR
6/1/2021,High,active,0,Medium Rating,2,Low Rating,0,Low Rating,0.41,low,Socal VSR
6/2/2021,High,active,0,Low Rating,0,Medium Rating,0,Low Rating,0.42,low,Socal VSR
6/3/2021,High,active,0,Low Rating,0,Medium Rating,0,Low Rating,0.44,low,Socal VSR
6/4/2021,High,active,0,Low Rating,0,Low Rating,0,Low Rating,0.51,low,Socal VSR
6/5/2021,High,active,0,Medium Rating,2,Low Rating,0,Low Rating,0.57,low,Socal VSR
6/6/2021,High,active,1,Low Rating,1,Low Rating,0,Low Rating,0.62,low,Socal VSR
6/7/2021,High,active,0,Low Rating,0,Low Rating,0,Low Rating,0.62,low,Socal VSR
6/8/2021,High,active,0,Medium Rating,0,Low Rating,0,Low Rating,0.59,low,Socal VSR
6/9/2021,High,active,0,Low Rating,0,Low Rating,0,Low Rating,NA,offline,Socal VSR
6/10/2021,High,active,0,Medium Rating,0,Low Rating,0,Low Rating,0.5,low,Socal VSR
